mode,n_tasks,rep,overlap,cross_dim,shared_count_all,shared_ratio_all
prefill-last,6,14,0.9238749146461487,377,131,0.34748010610079577
prefill-last,6,15,0.8762434124946594,376,131,0.3484042553191489
prefill-last,6,16,0.9528110027313232,373,137,0.3672922252010724
prefill-last,6,17,0.9600022435188293,384,134,0.3489583333333333
prefill-last,6,18,0.9358994364738464,380,134,0.3526315789473684
prefill-last,6,19,0.9599656462669373,374,137,0.3663101604278075
prefill-last,7,0,0.9391961097717285,418,138,0.33014354066985646
prefill-last,7,1,0.9729805588722229,421,138,0.32779097387173395
prefill-last,7,2,0.9391961097717285,418,138,0.33014354066985646
prefill-last,7,3,0.9243852496147156,414,137,0.3309178743961353
prefill-last,7,4,0.9243852496147156,414,137,0.3309178743961353
prefill-last,7,5,0.9391961097717285,418,138,0.33014354066985646
prefill-last,7,6,0.9729805588722229,421,138,0.32779097387173395
prefill-last,7,7,0.9655747413635254,420,138,0.32857142857142857
prefill-last,7,8,0.9647379517555237,409,131,0.3202933985330073
prefill-last,7,9,0.9664430022239685,420,138,0.32857142857142857
prefill-last,7,10,0.9243852496147156,414,137,0.3309178743961353
prefill-last,7,11,0.9391961097717285,418,138,0.33014354066985646
prefill-last,7,12,0.9664430022239685,420,138,0.32857142857142857
prefill-last,7,13,0.9243852496147156,414,137,0.3309178743961353
prefill-last,7,14,0.9647379517555237,409,131,0.3202933985330073
prefill-last,7,15,0.9655747413635254,420,138,0.32857142857142857
prefill-last,7,16,0.9647379517555237,409,131,0.3202933985330073
prefill-last,7,17,0.9391961097717285,418,138,0.33014354066985646
prefill-last,7,18,0.9647379517555237,409,131,0.3202933985330073
prefill-last,7,19,0.9705191850662231,411,135,0.3284671532846715
prefill-last,8,0,1.0,456,131,0.28728070175438597
prefill-last,8,1,1.0,456,131,0.28728070175438597
prefill-last,8,2,1.0,456,131,0.28728070175438597
prefill-last,8,3,1.0,456,131,0.28728070175438597
prefill-last,8,4,1.0,456,131,0.28728070175438597
prefill-last,8,5,1.0,456,131,0.28728070175438597
prefill-last,8,6,1.0,456,131,0.28728070175438597
prefill-last,8,7,1.0,456,131,0.28728070175438597
prefill-last,8,8,1.0,456,131,0.28728070175438597
prefill-last,8,9,1.0,456,131,0.28728070175438597
prefill-last,8,10,1.0,456,131,0.28728070175438597
prefill-last,8,11,1.0,456,131,0.28728070175438597
prefill-last,8,12,1.0,456,131,0.28728070175438597
prefill-last,8,13,1.0,456,131,0.28728070175438597
prefill-last,8,14,1.0,456,131,0.28728070175438597
prefill-last,8,15,1.0,456,131,0.28728070175438597
prefill-last,8,16,1.0,456,131,0.28728070175438597
prefill-last,8,17,1.0,456,131,0.28728070175438597
prefill-last,8,18,1.0,456,131,0.28728070175438597
prefill-last,8,19,1.0,456,131,0.28728070175438597
decode-step-t,2,0,0.9221917390823364,160,159,0.99375
decode-step-t,2,1,0.9441899061203003,165,161,0.9757575757575757
decode-step-t,2,2,0.9456309080123901,182,174,0.9560439560439561
decode-step-t,2,3,0.9574096202850342,176,176,1.0
decode-step-t,2,4,0.9292134642601013,184,159,0.8641304347826086
decode-step-t,2,5,0.9574096202850342,176,176,1.0
decode-step-t,2,6,0.9221917390823364,160,159,0.99375
decode-step-t,2,7,0.9451795816421509,197,153,0.7766497461928934
decode-step-t,2,8,0.9472392201423645,174,169,0.9712643678160919
decode-step-t,2,9,0.9467660784721375,180,162,0.9
decode-step-t,2,10,0.9436531662940979,177,171,0.9661016949152542
decode-step-t,2,11,0.937187135219574,173,166,0.9595375722543352
decode-step-t,2,12,0.9604804515838623,190,188,0.9894736842105263
decode-step-t,2,13,0.9292134642601013,184,159,0.8641304347826086
decode-step-t,2,14,0.9377220273017883,178,166,0.9325842696629213
decode-step-t,2,15,0.9292134642601013,184,159,0.8641304347826086
decode-step-t,2,16,0.9574096202850342,176,176,1.0
decode-step-t,2,17,0.9494379162788391,190,182,0.9578947368421052
decode-step-t,2,18,0.9231024384498596,159,157,0.9874213836477987
decode-step-t,2,19,0.937506914138794,187,184,0.983957219251337
decode-step-t,3,0,0.9428673982620239,263,191,0.7262357414448669
decode-step-t,3,1,0.9355524182319641,241,196,0.8132780082987552
decode-step-t,3,2,0.9450171589851379,270,153,0.5666666666666667
decode-step-t,3,3,0.9597700238227844,281,185,0.6583629893238434
decode-step-t,3,4,0.9417163133621216,250,193,0.772
decode-step-t,3,5,0.9429225921630859,233,186,0.7982832618025751
decode-step-t,3,6,0.9485102295875549,271,205,0.7564575645756457
decode-step-t,3,7,0.9528335332870483,276,138,0.5
decode-step-t,3,8,0.9470442533493042,258,187,0.7248062015503876
decode-step-t,3,9,0.9495685696601868,294,140,0.47619047619047616
decode-step-t,3,10,0.9519275426864624,285,211,0.7403508771929824
decode-step-t,3,11,0.9485102295875549,271,205,0.7564575645756457
decode-step-t,3,12,0.959498941898346,301,159,0.5282392026578073
decode-step-t,3,13,0.9375149607658386,257,205,0.7976653696498055
decode-step-t,3,14,0.9433432221412659,251,189,0.7529880478087649
decode-step-t,3,15,0.9355524182319641,241,196,0.8132780082987552
decode-step-t,3,16,0.9433432221412659,251,189,0.7529880478087649
decode-step-t,3,17,0.9389896392822266,254,174,0.6850393700787402
decode-step-t,3,18,0.9525216817855835,251,191,0.7609561752988048
decode-step-t,3,19,0.9420455098152161,269,190,0.7063197026022305
decode-step-t,4,0,0.9518277049064636,376,132,0.35106382978723405
decode-step-t,4,1,0.9336899518966675,321,167,0.5202492211838006
decode-step-t,4,2,0.9440250992774963,355,174,0.49014084507042255
decode-step-t,4,3,0.9585052728652954,352,155,0.4403409090909091
decode-step-t,4,4,0.9336899518966675,321,167,0.5202492211838006
decode-step-t,4,5,0.9452152848243713,349,148,0.42406876790830944
decode-step-t,4,6,0.9556590914726257,370,133,0.35945945945945945
decode-step-t,4,7,0.9462255835533142,325,200,0.6153846153846154
decode-step-t,4,8,0.9548264145851135,358,169,0.4720670391061452
decode-step-t,4,9,0.9440250992774963,355,174,0.49014084507042255
decode-step-t,4,10,0.9433091878890991,321,179,0.557632398753894
decode-step-t,4,11,0.9384199976921082,328,181,0.551829268292683
decode-step-t,4,12,0.9431607127189636,335,167,0.49850746268656715
decode-step-t,4,13,0.9486488699913025,349,157,0.4498567335243553
decode-step-t,4,14,0.9524284601211548,351,162,0.46153846153846156
decode-step-t,4,15,0.9587774872779846,372,138,0.3709677419354839
decode-step-t,4,16,0.9548264145851135,358,169,0.4720670391061452
decode-step-t,4,17,0.9336899518966675,321,167,0.5202492211838006
decode-step-t,4,18,0.9494667053222656,360,135,0.375
decode-step-t,4,19,0.9518277049064636,376,132,0.35106382978723405
decode-step-t,5,0,0.9576562643051147,433,129,0.2979214780600462
decode-step-t,5,1,0.9496837258338928,414,140,0.33816425120772947
decode-step-t,5,2,0.9576454758644104,440,137,0.31136363636363634
decode-step-t,5,3,0.9479953646659851,413,179,0.43341404358353514
decode-step-t,5,4,0.9479953646659851,413,179,0.43341404358353514
decode-step-t,5,5,0.9612798094749451,434,157,0.3617511520737327
decode-step-t,5,6,0.9578559398651123,428,126,0.29439252336448596
decode-step-t,5,7,0.9612798094749451,434,157,0.3617511520737327
decode-step-t,5,8,0.9562422633171082,429,170,0.3962703962703963
decode-step-t,5,9,0.9508696794509888,434,128,0.29493087557603687
decode-step-t,5,10,0.9562422633171082,429,170,0.3962703962703963
decode-step-t,5,11,0.9466280937194824,395,165,0.4177215189873418
decode-step-t,5,12,0.9455456733703613,420,161,0.38333333333333336
decode-step-t,5,13,0.9605929255485535,435,131,0.30114942528735633
decode-step-t,5,14,0.9572716951370239,447,150,0.33557046979865773
decode-step-t,5,15,0.9592500925064087,421,150,0.35629453681710216
decode-step-t,5,16,0.9509440064430237,422,162,0.38388625592417064
decode-step-t,5,17,0.9576562643051147,433,129,0.2979214780600462
decode-step-t,5,18,0.9587822556495667,422,165,0.3909952606635071
decode-step-t,5,19,0.9479953646659851,413,179,0.43341404358353514
decode-step-t,6,0,0.9706996083259583,522,150,0.28735632183908044
decode-step-t,6,1,0.957749605178833,483,167,0.34575569358178054
decode-step-t,6,2,0.9685010313987732,528,150,0.2840909090909091
decode-step-t,6,3,0.9598271250724792,502,137,0.2729083665338645
decode-step-t,6,4,0.9638660550117493,503,137,0.27236580516898606
decode-step-t,6,5,0.9664314389228821,523,125,0.2390057361376673
decode-step-t,6,6,0.9559219479560852,496,133,0.26814516129032256
decode-step-t,6,7,0.9706996083259583,522,150,0.28735632183908044
decode-step-t,6,8,0.9646317362785339,502,152,0.30278884462151395
decode-step-t,6,9,0.961226761341095,495,159,0.3212121212121212
decode-step-t,6,10,0.9559219479560852,496,133,0.26814516129032256
decode-step-t,6,11,0.9528844952583313,475,176,0.3705263157894737
decode-step-t,6,12,0.9577023983001709,484,159,0.3285123966942149
decode-step-t,6,13,0.9603869915008545,501,162,0.32335329341317365
decode-step-t,6,14,0.9621390104293823,502,162,0.32270916334661354
decode-step-t,6,15,0.9649345874786377,502,155,0.30876494023904383
decode-step-t,6,16,0.9598271250724792,502,137,0.2729083665338645
decode-step-t,6,17,0.9706996083259583,522,150,0.28735632183908044
decode-step-t,6,18,0.9671712517738342,516,124,0.24031007751937986
decode-step-t,6,19,0.9648844599723816,510,144,0.2823529411764706
decode-step-t,7,0,0.9764227271080017,587,144,0.2453151618398637
decode-step-t,7,1,0.9784449338912964,581,152,0.26161790017211706
decode-step-t,7,2,0.9805863499641418,587,150,0.2555366269165247
